Ngày,Lần cuối,Mở,Cao,Thấp,KL
21/5/2018,1290.9,1290.3,1292.7,1281.2,328.02K
22/5/2018,1292,1292.3,1296,1287.2,291.72K
23/5/2018,1289.6,1290.6,1298.4,1286.7,402.34K
24/5/2018,1304.4,1293.3,1306.4,1292.2,432.42K
25/5/2018,1303.7,1304,1307.2,1299.4,292.91K
28/5/2018,1299,1297.2,1306.1,1291.4,386.33K
29/5/2018,1301.6,1302.8,1309,1294.7,2.24K
30/5/2018,1306.5,1303.1,1308.8,1300,338.85K
31/5/2018,1304.7,1306,1311.5,1301,315.14K
1/6/2018,1299.3,1303,1304.8,1293.1,318.57K
4/6/2018,1297.3,1296.7,1302.3,1293.8,215.33K
5/6/2018,1302.2,1296.4,1304.8,1293.5,271.29K
6/6/2018,1301.4,1300.6,1306.1,1297.7,252.05K
7/6/2018,1303,1300.9,1307.8,1299,259.65K
8/6/2018,1302.7,1301.3,1304.8,1296,217.65K
11/6/2018,1303.2,1303.5,1307,1297.8,211.58K
12/6/2018,1299.4,1304.5,1304.8,1296.3,236.39K
13/6/2018,1301.3,1299.6,1305.2,1294.5,263.84K
14/6/2018,1308.3,1303.1,1313,1301,347.19K
15/6/2018,1278.5,1303.1,1313,1277.9,525.96K
18/6/2018,1280.1,1281.1,1284.9,1279.5,195.74K
19/6/2018,1278.6,1280.7,1286.8,1272.6,289.57K
20/6/2018,1274.5,1277.3,1278.6,1269.6,233.18K
21/6/2018,1270.5,1269.7,1272.3,1262.4,281.81K
22/6/2018,1270.7,1268.6,1273.1,1268.4,184.22K
25/6/2018,1268.9,1272.2,1274.4,1265.5,201.57K
26/6/2018,1259.9,1267.3,1269.4,1256.4,254.01K
27/6/2018,1256.1,1260.5,1261.9,1252.2,256.90K
28/6/2018,1251,1253.6,1255.8,1247.2,241.82K
29/6/2018,1254.5,1249.5,1257.1,1246.9,226.20K
2/7/2018,1241.7,1253.4,1255.6,1240.6,262.87K
3/7/2018,1253.5,1242.9,1258.5,1238.8,297.34K
4/7/2018,1258.8,1257.7,1261,1252.2,392.95K
5/7/2018,1261.7,1257.8,1263.6,1256.9,0.14K
6/7/2018,1255.8,1258.4,1260.2,1253.7,200.19K
9/7/2018,1259.6,1255.7,1266.9,1255.7,238.97K
10/7/2018,1255.4,1258.5,1261,1247.7,272.63K
11/7/2018,1244.4,1256.7,1257.3,1241.7,299.64K
12/7/2018,1246.6,1242.3,1248.8,1241.4,220.96K
13/7/2018,1241.2,1247.7,1248.5,1236.2,257.31K
16/7/2018,1239.7,1241,1245.8,1238.3,186.30K
17/7/2018,1227.3,1240.8,1245.1,1225.9,318.22K
18/7/2018,1227.9,1227,1229.1,1220.9,283.98K
19/7/2018,1224,1227.3,1229.6,1210.7,428.88K
20/7/2018,1231.1,1222.9,1232.4,1215.3,355.23K
23/7/2018,1225.6,1231.7,1235.2,1222.2,333.33K
24/7/2018,1225.5,1224.4,1229.7,1218.1,299.06K
25/7/2018,1231.8,1224.2,1234.3,1223.2,272.25K
26/7/2018,1225.7,1231.7,1235.3,1221.7,285.61K
27/7/2018,1232.7,1231.4,1236.5,1226.3,156.04K
30/7/2018,1231.5,1231.1,1234.1,1227.8,183.75K
31/7/2018,1233.6,1230.5,1237.8,1222.6,297.83K
1/8/2018,1227.6,1232.7,1233.7,1224.4,218.46K
2/8/2018,1220.1,1224.7,1230,1215.3,234.63K
3/8/2018,1223.2,1216,1228.5,1212.5,280.21K
6/8/2018,1217.7,1222,1226,1214.4,199.54K
7/8/2018,1218.3,1215.8,1224.3,1215.6,205.38K
8/8/2018,1221,1218.7,1223.8,1213.6,263.24K
9/8/2018,1219.9,1222,1225.6,1218.4,232.04K
10/8/2018,1219,1220,1224.9,1213.1,328.24K
13/8/2018,1198.9,1218.4,1221.4,1198.6,374.12K
14/8/2018,1200.7,1201.1,1205.8,1198.9,242.55K
15/8/2018,1185,1201.5,1202,1180,377.68K
16/8/2018,1184,1183,1189,1167.1,362.11K
17/8/2018,1184.2,1180.7,1192,1178.5,255.79K
20/8/2018,1194.6,1190.4,1197.7,1189.6,205.77K
21/8/2018,1200,1197.3,1204.3,1194.3,218.29K
22/8/2018,1203.3,1203,1208.4,1199.2,234.15K
23/8/2018,1194,1202.8,1203.4,1190.2,232.88K
24/8/2018,1213.3,1191.6,1215.4,1189.5,293.98K
27/8/2018,1216,1214.5,1218.8,1209.3,209.19K
28/8/2018,1214.4,1217.7,1220.7,1205.8,273.18K
29/8/2018,1211.5,1206.6,1213.7,1206.6,241.90K
30/8/2018,1205,1212.6,1214,1202.1,288.07K
31/8/2018,1206.7,1206.3,1214.9,1204.1,265.11K
3/9/2018,1199.1,1207,1207.6,1195.1,421.47K
4/9/2018,1196.6,1201.8,1204.8,1193.3,0.06K
5/9/2018,1201.3,1197.2,1204.2,1196.4,209.56K
6/9/2018,1204.3,1202.5,1212.7,1200.5,284.20K
7/9/2018,1200.4,1205.6,1209,1198.7,287.65K
10/9/2018,1199.8,1200.7,1203.8,1196.2,213.40K
11/9/2018,1202.2,1200.4,1204.8,1192.7,263.07K
12/9/2018,1210.9,1203.5,1213.9,1197.6,304.32K
