Ngày,Lần cuối,Mở,Cao,Thấp,KL
20/5/2018,886.2,886.8,889,885.5,
21/5/2018,899.5,886.2,902.7,877.8,
22/5/2018,908.3,899.5,912,896.3,
23/5/2018,904.6,908.3,910.4,898.5,
24/5/2018,910.4,904.6,914.7,903.5,
25/5/2018,900.6,910.4,913.7,898.8,
27/5/2018,901.6,900.4,901.8,899.9,
28/5/2018,905.4,901.6,908.1,901.1,
29/5/2018,907.6,905.3,910.5,901.6,
30/5/2018,910.1,907.6,911.9,903.5,
31/5/2018,909.7,910,915.6,906.1,
1/6/2018,903.7,909.7,913.6,900,
3/6/2018,904.2,904,904.5,903,
4/6/2018,900.9,904.2,911,900,
5/6/2018,902.5,900.9,904.6,892.7,
6/6/2018,906.1,902.5,909,900.8,
7/6/2018,901.1,906.1,910.3,898.6,
8/6/2018,908.2,901,908.6,897.1,
10/6/2018,907.7,908.6,909.3,906.8,
11/6/2018,905.6,907.5,911.9,903.6,
12/6/2018,900.4,905.7,910.7,899.4,
13/6/2018,902.4,900.4,906.5,893.3,
14/6/2018,906.2,902.3,914.5,899.2,
15/6/2018,888.2,906.1,907.9,885.8,
17/6/2018,889.1,886.8,889.1,885.3,
18/6/2018,885.7,889.1,892.3,881.8,
19/6/2018,867.2,885.7,886.4,862.2,
20/6/2018,870.8,867.3,876.1,859.7,
21/6/2018,864,870.8,871.9,861.5,
22/6/2018,878.7,864,878.7,857.6,
24/6/2018,880.6,877.6,882.7,877.6,
25/6/2018,869.8,880.4,882.3,869.1,
26/6/2018,871.4,869.8,875.6,862.2,
27/6/2018,861,871.1,872.3,856,
28/6/2018,853.5,860.8,861.8,849.5,
29/6/2018,856.9,853.6,858,846.4,
1/7/2018,856.8,856.7,857.5,855.2,
2/7/2018,819.4,856.6,856.6,811.7,
3/7/2018,844.1,819.3,849.3,800.7,
4/7/2018,846.4,844.1,847.9,837.1,
5/7/2018,844.5,846.2,850.6,840.5,
6/7/2018,847,844.5,848.8,838.9,
8/7/2018,848.4,846.4,848.9,846.4,
9/7/2018,855.3,848.5,862.1,848.3,
10/7/2018,846,854.7,858.6,840,
11/7/2018,831.7,846,847.2,829.4,
12/7/2018,844.6,831.7,848.5,829.3,
13/7/2018,831.7,844.5,846.9,826.7,
15/7/2018,832.2,831,833.6,830.9,
16/7/2018,828,832,836.5,820.6,
17/7/2018,818.5,828,832.3,817.9,
18/7/2018,821.6,818.5,821.9,807.2,
19/7/2018,809.2,821.6,822.1,794.7,
20/7/2018,828.9,809.3,832.9,803.7,
22/7/2018,833,828.9,833,828.6,
23/7/2018,834,833,837.9,825.9,
24/7/2018,836.6,834,848.6,829.5,
25/7/2018,847.4,836.6,847.8,835.5,
26/7/2018,829.5,847.3,847.8,826.2,
27/7/2018,832.3,829.5,835.2,823.2,
29/7/2018,832.6,832,834.3,831,
30/7/2018,831.3,832.6,834.5,824.3,
31/7/2018,839.7,831.4,846.7,827,
1/8/2018,821.5,839.7,840.8,816.4,
2/8/2018,825,821.3,836.4,814.2,
3/8/2018,832.5,825,843.8,823,
5/8/2018,836.1,832.9,836.4,832.5,
6/8/2018,824.3,836.1,838.8,822,
7/8/2018,832.6,824.3,839.6,823.3,
8/8/2018,832,832.5,834.7,824.6,
9/8/2018,833.7,832.1,842,827.6,
10/8/2018,828.8,833.9,837.1,828.5,
12/8/2018,830.5,828.8,831.8,828.8,
13/8/2018,799.8,830.2,830.5,797,
14/8/2018,801.2,799.8,808.2,795.9,
15/8/2018,765.2,801.2,801.6,756.7,
16/8/2018,781,765.3,795.7,756,
17/8/2018,788.1,781.5,790.3,772.8,
19/8/2018,788.3,786.1,788.4,786.1,
20/8/2018,795.9,788.2,797.9,786.1,
21/8/2018,795.3,795.6,803.3,786.9,
22/8/2018,792.9,795.3,801.5,788.5,
23/8/2018,775.6,792.8,793.2,774.8,
24/8/2018,790.5,775.6,794.3,774.1,
26/8/2018,792.7,791,792.8,790.5,
27/8/2018,805,792.7,805.8,787.4,
28/8/2018,791.8,805,810,787.9,
29/8/2018,797.2,792,798.9,786.7,
30/8/2018,791.1,797.2,797.9,788,
31/8/2018,787.8,791.1,801.3,784.4,
2/9/2018,787.2,786.3,789.1,786.3,
3/9/2018,787.6,787.2,790,783.4,
4/9/2018,777.8,787.4,791.4,765.6,
5/9/2018,785.5,778.1,786.5,770.1,
6/9/2018,792.7,785.8,796.3,781,
7/9/2018,781.9,792.4,794.8,775.1,
9/9/2018,782.1,783.1,783.1,779.9,
10/9/2018,786.3,782.1,801.1,776.7,
11/9/2018,792.5,786.3,794.1,781.4,
12/9/2018,799.8,792.6,802,783.3,
13/9/2018,804.2,799.7,813.7,799.6,
14/9/2018,794.6,804.2,812.4,794.6,
16/9/2018,793.5,796,796.2,793.5,
17/9/2018,795.4,793.5,808,792.4,
18/9/2018,815.2,795.5,819,795,
19/9/2018,824.2,815.2,827.3,812.6,
20/9/2018,835,824.2,835.9,818.8,
21/9/2018,828.7,835.1,839,822.9,
23/9/2018,829.4,832.1,833,828.8,
24/9/2018,831.6,829.4,838.4,826.3,
25/9/2018,827.8,831.6,837.3,825.6,
26/9/2018,827.6,827.8,832.9,823.3,
27/9/2018,813.2,827.4,835.7,810,
28/9/2018,818.5,813.2,826.8,809.2,
30/9/2018,818.6,819.8,820.6,818.2,
1/10/2018,826.9,818.6,828.4,811.4,
2/10/2018,836.1,827,838.2,818.8,
3/10/2018,827.8,835.9,840,827.5,
4/10/2018,827.4,827.8,836.4,823.2,
5/10/2018,825.3,827.4,834.3,821.9,
7/10/2018,825.2,825.5,826.9,824.9,
8/10/2018,825.3,825.2,827.1,812.4,
9/10/2018,829.3,825.3,830.6,814,
10/10/2018,824.5,829.3,831.4,822.6,
11/10/2018,841.9,824.5,847.9,818.3,
12/10/2018,841.8,842,846.7,839.3,
14/10/2018,843.3,842.2,844.1,841.7,
15/10/2018,846.8,843.3,854.4,843.2,
16/10/2018,845.2,846.7,850.2,842.8,
17/10/2018,835.1,844.9,845.9,834.6,
18/10/2018,831.5,835,837.3,828.6,
19/10/2018,833.9,831.5,839.9,830.4,
21/10/2018,833.8,834,834.3,833.2,
22/10/2018,824,833.8,841.6,820.8,
23/10/2018,835.1,824,838.2,820,
24/10/2018,834.6,835.1,838.4,827.9,
25/10/2018,829.6,834.4,836.5,825.9,
26/10/2018,836,829.5,838.6,825.8,
28/10/2018,835.7,837.5,837.8,835.4,
29/10/2018,836.6,835.7,845.6,833.5,
30/10/2018,838.4,836.6,843.4,834.6,
31/10/2018,841.8,838.4,843.6,834.4,
1/11/2018,867.8,841.8,867.8,841,
2/11/2018,872.1,867.8,876.4,863.7,
4/11/2018,873.9,872.1,874.4,872.1,
5/11/2018,867.5,873.6,877,866,
6/11/2018,873.2,867.5,879.8,867.2,
7/11/2018,877,873.2,881.5,869.8,
8/11/2018,867.2,876.8,878.3,865.4,
9/11/2018,855.6,867.2,867.6,854.7,
11/11/2018,857.3,855.3,857.5,855.3,
12/11/2018,845,857.5,860.4,842.7,
13/11/2018,843.7,845.1,853.4,838.2,
14/11/2018,838.3,843.7,844.9,829.1,
15/11/2018,844.3,838.3,848.6,832.7,
16/11/2018,848,844.6,850.7,842.5,
18/11/2018,848,849.7,849.7,846.7,
19/11/2018,855.7,848,858.6,845,
20/11/2018,844.3,855.7,858.1,840.8,
21/11/2018,849.1,844.3,853.3,842.3,
22/11/2018,850,849.1,852.8,847.3,
23/11/2018,843.1,850,850.6,839.9,
25/11/2018,843.8,842.9,844.3,842.7,
26/11/2018,846.5,843.8,852.2,843.2,
27/11/2018,836.5,846.5,848.7,832.7,
28/11/2018,827.8,836.5,837.2,816.7,
29/11/2018,822.2,828,832.5,818.9,
30/11/2018,801,822.2,823,799.2,
2/12/2018,807.9,802.1,808.5,801.7,
3/12/2018,808.5,808,816.5,805.3,
4/12/2018,804.55,808.5,811.2,799.7,
5/12/2018,802.05,804.65,805.55,791.3,
6/12/2018,789.8,802.05,803.7,785,
7/12/2018,794.3,789.5,796.7,785.3,
9/12/2018,793.1,794.1,795.8,793,
10/12/2018,783.75,792.9,795.05,778.7,
11/12/2018,787.35,783.55,791.3,780.1,
12/12/2018,804.65,787.25,807.5,785.4,
13/12/2018,796.8,804.6,808.6,790.7,
14/12/2018,787.35,796.7,797.5,781.3,
16/12/2018,787.35,786.9,787.65,786.2,
17/12/2018,793.1,787.4,798.25,782.7,
18/12/2018,792.9,793.25,795.75,786.1,
19/12/2018,787.7,792.75,799.3,785.6,
20/12/2018,796.4,787.6,798.8,785,
21/12/2018,789.05,796.5,798.6,788,
23/12/2018,791.95,790.2,792.6,790.2,
24/12/2018,788.4,791.85,798.3,788.3,
25/12/2018,788.9,788.8,790.75,788.35,
26/12/2018,799.25,788.75,804.3,788.75,
27/12/2018,795.5,799.4,802.2,785.1,
28/12/2018,790.25,795.6,800.5,787.75,
30/12/2018,796.2,795.8,797.5,795.6,
31/12/2018,801.4,795.95,802.8,793.1,
1/1/2019,800.6,801.15,801.4,799.1,
2/1/2019,798.7,800.8,805.6,788.1,
3/1/2019,804,798.6,806.2,795.35,
4/1/2019,826.7,803.8,828.5,800.2,
6/1/2019,824.85,825.75,828,823.95,
7/1/2019,826.4,825.1,836.5,823.4,
8/1/2019,825.45,826.8,830.5,818.9,
9/1/2019,829.65,825.8,830.3,822.7,
10/1/2019,823.9,829.9,833.1,823,
11/1/2019,813.8,824.3,829,813.5,
13/1/2019,814.3,814.4,815.2,813.75,
14/1/2019,808.7,814.25,816.7,801.8,
15/1/2019,803.8,808.3,809.75,798.75,
16/1/2019,809.35,803.65,810.7,800.3,
17/1/2019,812.4,809.15,816,803.65,
18/1/2019,800.3,812.25,818.1,797.75,
20/1/2019,801.35,800,802.95,796.4,
21/1/2019,798.45,801.25,803.9,796.4,
22/1/2019,794,798.3,800.9,788.85,
23/1/2019,797.55,793.65,798.2,791,
24/1/2019,804.6,797.15,807.1,792.05,
25/1/2019,820.65,804.75,822,803.85,
27/1/2019,818.4,820.7,820.8,818.35,
28/1/2019,814,818.4,822.2,811,
29/1/2019,816.3,814.5,821.5,813.3,
30/1/2019,819.6,816.65,823.8,814.6,
31/1/2019,823,820.05,828.15,818.15,
1/2/2019,825.9,823.7,834.95,820.2,
3/2/2019,826,825.6,828.2,824.85,
4/2/2019,822.5,826.4,828.1,816.4,
5/2/2019,821.35,822.65,827.35,819,
6/2/2019,807.1,821.65,824.8,807.1,
7/2/2019,800.8,807.1,810,796.8,
8/2/2019,802.2,800.5,803,796,
10/2/2019,802.3,802.25,804.1,802.05,
11/2/2019,789.75,802.05,802.05,786,
12/2/2019,793.55,789.3,794.9,785.55,
13/2/2019,788.4,793.15,796.35,787.35,
14/2/2019,788.75,788.25,791.3,780.9,
15/2/2019,808.55,788.85,809.55,785.1,
17/2/2019,806.6,808.55,809.4,806.55,
18/2/2019,808.75,806.6,811.1,804,
19/2/2019,821.4,808.8,824.1,807.9,
20/2/2019,830.4,821.6,836.1,821,
21/2/2019,826.9,830.8,832.9,820.8,
22/2/2019,845.45,827.15,847.45,825.9,
24/2/2019,846.8,846.65,847.45,845.35,
25/2/2019,856.8,847.15,858.8,846.85,
26/2/2019,863.1,857.2,864.7,849.25,
27/2/2019,871.85,863.2,876.8,861.6,
28/2/2019,874.1,871.95,879.8,865.35,
1/3/2019,862.2,874.15,877.1,859.4,
3/3/2019,863.7,864.05,866.05,862.6,
4/3/2019,840.6,864.2,865.8,837.2,
5/3/2019,839.1,840.5,843.1,835.05,
6/3/2019,829.7,838.85,839.9,826.5,
7/3/2019,816.5,829,830,814.5,
8/3/2019,818.85,816.2,822.5,812.65,
10/3/2019,818.15,819.05,819.05,814.95,
11/3/2019,820.65,818.2,821.15,809.6,
12/3/2019,835.9,820.8,837.9,820.45,
13/3/2019,842.05,836,849.4,832.7,
14/3/2019,825.4,842.05,843.7,824.1,
15/3/2019,831.8,825.45,836.8,825,
17/3/2019,830.55,831.75,832.5,830.15,
18/3/2019,836.2,830.7,839.7,823.65,
19/3/2019,851.7,836.1,856.25,835.1,
20/3/2019,868.5,851.7,869,851.4,
21/3/2019,860.35,868.45,876.7,858,
22/3/2019,847.95,860.3,867.65,846.75,
24/3/2019,849.95,855.85,855.85,849.8,
25/3/2019,866.6,850,868.25,846.6,
26/3/2019,865.3,866.7,867.85,855.4,
27/3/2019,859.9,865.25,876.4,857.05,
28/3/2019,849.25,859.7,870.65,839.05,
29/3/2019,853.4,849.2,861.7,844.1,
31/3/2019,856.3,853.25,858.35,853.25,
1/4/2019,855.7,856.4,862.3,847.8,
2/4/2019,856,855.55,859.3,849.35,
3/4/2019,875.5,855.85,876.95,855.35,
4/4/2019,902.05,875.5,904.9,874.6,
5/4/2019,905.65,902.15,913.4,890.35,
7/4/2019,908.75,906.55,910.1,904.65,
8/4/2019,910.05,908.9,920.4,907.65,
9/4/2019,891.6,910.05,911.85,890.55,
10/4/2019,907.95,891.5,912.75,890.65,
11/4/2019,897.4,907.85,914.8,893.3,
12/4/2019,895.35,897.55,907.8,895.35,
14/4/2019,896.4,896.1,897.4,894.6,
15/4/2019,891.65,896.25,898.1,883,
16/4/2019,885.2,891.7,896.65,881.2,
17/4/2019,892.7,885.2,895.15,882.25,
18/4/2019,907.4,892.9,907.85,885.95,
19/4/2019,907,907,907,907,
21/4/2019,907.1,907.4,909.25,905.85,
22/4/2019,904.85,907.45,918,897.75,
23/4/2019,893.1,904.85,906.55,885.4,
24/4/2019,888.6,892.95,897.75,886.65,
25/4/2019,890.65,888.6,892.6,881.15,
26/4/2019,902.8,890.6,904.2,887.25,
28/4/2019,904.1,902.9,904.1,902.45,
29/4/2019,901.6,903.9,905.3,891.8,
30/4/2019,891.4,901.35,904.55,888.65,
1/5/2019,872.2,891.4,892.4,867.8,
2/5/2019,853.65,872.15,873.3,852.7,
3/5/2019,874.7,853.7,875.7,847.25,
5/5/2019,864.8,874.75,874.75,863.9,
6/5/2019,884.95,864.85,885.1,859.4,
7/5/2019,873.15,884.8,887.45,870.05,
8/5/2019,864.4,873.05,878.95,863,
9/5/2019,854,864.6,866,849.5,
10/5/2019,867.75,854.05,869.1,852.7,
12/5/2019,858.9,867.2,867.6,858.55,
13/5/2019,860.85,858.9,865.15,851.4,
14/5/2019,859.7,860.9,867.9,855.1,
15/5/2019,846.8,859.6,860.85,844.1,
16/5/2019,835.3,846.55,852.05,833.1,
17/5/2019,819.55,835.4,836.1,818.25,
19/5/2019,822.45,819.6,823.2,818.1,
20/5/2019,816.5,822.35,827.4,811.5,
21/5/2019,817.5,816.5,820.45,807.2,
22/5/2019,803.5,817.55,818.5,802.7,
23/5/2019,801.15,803.7,804.45,796.7,
24/5/2019,805.5,801.1,809.2,799.5,
26/5/2019,806.7,806.15,807.2,804.5,
27/5/2019,813.1,806.5,813.1,802.35,
28/5/2019,800.2,813,817.7,796.3,
29/5/2019,792.2,800.6,800.65,790.8,
30/5/2019,791.65,792.2,798.3,788.4,
31/5/2019,792.8,791.65,796.6,789.65,
2/6/2019,794.75,793,794.95,792.8,
3/6/2019,823.05,794.7,824.15,794.45,
4/6/2019,820.75,823.05,825.4,816.1,
5/6/2019,806.65,820.9,833.2,802.25,
6/6/2019,803.25,806.6,808.35,798.8,
7/6/2019,806.15,803.4,811.7,800.1,
9/6/2019,809.55,806.1,810.7,805.65,
10/6/2019,807.75,809.5,810.05,796.9,
11/6/2019,815.2,807.7,815.8,800.7,
12/6/2019,811.35,815.05,819.95,808.45,
13/6/2019,812.7,811.3,814.8,805.55,
14/6/2019,803.6,812.35,818.75,801.95,
16/6/2019,801.7,803.5,805.7,801,
17/6/2019,792.65,801.75,803.3,791.3,
18/6/2019,803.4,792.6,805.2,790.25,
19/6/2019,812.55,803.4,813.1,797.25,
20/6/2019,810.25,812.75,823.85,805.1,
21/6/2019,809.45,810.2,814.5,798.5,
